"Genotype" "predicted.value" "standard.error" "est.status"
"1" "Asdecouer" 0.39814842066906 0.0541254563181587 "Estimable"
"2" "Colonia" 0.317515170884095 0.0541194585033021 "Estimable"
"3" "Credo" 0.230971868708644 0.0541256314342629 "Estimable"
"4" "F001" 0.304379641452362 0.0541384522302059 "Estimable"
"5" "F002" 0.310255519498855 0.054129616014634 "Estimable"
"6" "F003" 0.251720243852823 0.0541241996017339 "Estimable"
"7" "F004" 0.538147630933492 0.0541260605707908 "Estimable"
"8" "F005" 0.417555476079592 0.0541326442180337 "Estimable"
"9" "F006" 0.556652594743961 0.0541323372998801 "Estimable"
"10" "F007" 0.259102240444014 0.0541324748872202 "Estimable"
"11" "F008" 0.455533248131223 0.0541132811585143 "Estimable"
"12" "F009" 0.297452593116839 0.0541640710581939 "Estimable"
"13" "F010" 0.30861703262974 0.0541368461495998 "Estimable"
"14" "F011" 0.303539409858226 0.0541300025278433 "Estimable"
"15" "F012" 0.350704549986996 0.0541266048062989 "Estimable"
"16" "F013" 0.595766921060969 0.0541268670028431 "Estimable"
"17" "F014" 0.46283132181935 0.0541285043832812 "Estimable"
"18" "F015" 0.250853684612211 0.0541381022785691 "Estimable"
"19" "F016" 0.344163798601012 0.0541264048462381 "Estimable"
"20" "F017" 0.250911726182617 0.0541253038379066 "Estimable"
"21" "F018" 0.267850033062944 0.054135052790239 "Estimable"
"22" "F019" 0.278150241292632 0.0541393860248284 "Estimable"
"23" "F020" 0.301456838892306 0.0541294882921878 "Estimable"
"24" "F021" 0.286567902727146 0.0541256195614465 "Estimable"
"25" "F022" 0.430486586256206 0.0541258819422547 "Estimable"
"26" "F023" 0.246214402201408 0.0541193520973014 "Estimable"
"27" "F024" 0.27347067751721 0.0541191937626447 "Estimable"
"28" "F025" 0.269011132912323 0.054131955693682 "Estimable"
"29" "F026" 0.353149648127042 0.0541257162225061 "Estimable"
"30" "F027" 0.236307755134849 0.054131691077428 "Estimable"
"31" "F028" 0.334083526173709 0.0541127520990745 "Estimable"
